USI,Cohort,eaf.max
HG01779,HGDP + 1KG,EUR
HG01781,HGDP + 1KG,EUR
HG01783,HGDP + 1KG,EUR
HG01784,HGDP + 1KG,EUR
HG01785,HGDP + 1KG,EUR
HG01786,HGDP + 1KG,EUR
HG01789,HGDP + 1KG,EUR
HG01790,HGDP + 1KG,EUR
HG01791,HGDP + 1KG,EUR
HG01794,HGDP + 1KG,EAS
HG01796,HGDP + 1KG,EAS
HG01797,HGDP + 1KG,EAS
HG01798,HGDP + 1KG,EAS
HG01799,HGDP + 1KG,EAS
HG01800,HGDP + 1KG,EAS
HG01801,HGDP + 1KG,EAS
HG01802,HGDP + 1KG,EAS
HG01804,HGDP + 1KG,EAS
HG01805,HGDP + 1KG,EAS
HG01806,HGDP + 1KG,EAS
HG01808,HGDP + 1KG,EAS
HG01809,HGDP + 1KG,EAS
HG01810,HGDP + 1KG,EAS
HG01811,HGDP + 1KG,EAS
HG01812,HGDP + 1KG,EAS
HG01813,HGDP + 1KG,EAS
HG01815,HGDP + 1KG,EAS
HG01816,HGDP + 1KG,EAS
HG01817,HGDP + 1KG,EAS
HG01840,HGDP + 1KG,EAS
HG01841,HGDP + 1KG,EAS
HG01842,HGDP + 1KG,EAS
HG01843,HGDP + 1KG,EAS
HG01844,HGDP + 1KG,EAS
HG01845,HGDP + 1KG,EAS
HG01846,HGDP + 1KG,EAS
HG01847,HGDP + 1KG,EAS
HG01848,HGDP + 1KG,EAS
HG01849,HGDP + 1KG,EAS
HG01850,HGDP + 1KG,EAS
HG01851,HGDP + 1KG,EAS
HG01852,HGDP + 1KG,EAS
HG01853,HGDP + 1KG,EAS
HG01855,HGDP + 1KG,EAS
HG01857,HGDP + 1KG,EAS
HG01858,HGDP + 1KG,EAS
HG01859,HGDP + 1KG,EAS
HG01860,HGDP + 1KG,EAS
HG01861,HGDP + 1KG,EAS
HG01862,HGDP + 1KG,EAS
HG01863,HGDP + 1KG,EAS
HG01864,HGDP + 1KG,EAS
HG01865,HGDP + 1KG,EAS
HG01866,HGDP + 1KG,EAS
HG01867,HGDP + 1KG,EAS
HG01868,HGDP + 1KG,EAS
HG01869,HGDP + 1KG,EAS
HG01870,HGDP + 1KG,EAS
HG01871,HGDP + 1KG,EAS
HG01872,HGDP + 1KG,EAS
HG01873,HGDP + 1KG,EAS
HG01874,HGDP + 1KG,EAS
HG01878,HGDP + 1KG,EAS
HG01879,HGDP + 1KG,AFR
HG01882,HGDP + 1KG,AFR
HG01883,HGDP + 1KG,AFR
HG01885,HGDP + 1KG,AFR
HG01886,HGDP + 1KG,AFR
HG01889,HGDP + 1KG,AFR
HG01890,HGDP + 1KG,AFR
HG01892,HGDP + 1KG,AMR
HG01893,HGDP + 1KG,AMR
HG01894,HGDP + 1KG,AFR
HG01896,HGDP + 1KG,AFR
HG01912,HGDP + 1KG,AFR
HG01914,HGDP + 1KG,AFR
HG01915,HGDP + 1KG,AFR
HG01917,HGDP + 1KG,AMR
HG01918,HGDP + 1KG,AMR
HG01920,HGDP + 1KG,AMR
HG01921,HGDP + 1KG,AMR
HG01923,HGDP + 1KG,AMR
HG01924,HGDP + 1KG,AMR
HG01926,HGDP + 1KG,AMR
HG01927,HGDP + 1KG,AMR
HG01932,HGDP + 1KG,AMR
HG01933,HGDP + 1KG,AMR
HG01935,HGDP + 1KG,AMR
HG01936,HGDP + 1KG,AMR
HG01938,HGDP + 1KG,AMR
HG01939,HGDP + 1KG,AMR
HG01941,HGDP + 1KG,AMR
HG01942,HGDP + 1KG,AMR
HG01944,HGDP + 1KG,AMR
HG01945,HGDP + 1KG,AMR
HG01947,HGDP + 1KG,AMR
HG01948,HGDP + 1KG,AMR
HG01950,HGDP + 1KG,AMR
HG01951,HGDP + 1KG,AMR
HG01953,HGDP + 1KG,AMR
HG01954,HGDP + 1KG,AMR
HG01956,HGDP + 1KG,AFR
HG01958,HGDP + 1KG,AFR
HG01961,HGDP + 1KG,AMR
HG01965,HGDP + 1KG,AMR
HG01967,HGDP + 1KG,AMR
HG01968,HGDP + 1KG,AMR
HG01970,HGDP + 1KG,AMR
HG01971,HGDP + 1KG,AMR
HG01973,HGDP + 1KG,AMR
HG01974,HGDP + 1KG,AMR
HG01976,HGDP + 1KG,AMR
HG01977,HGDP + 1KG,AMR
HG01979,HGDP + 1KG,AMR
HG01980,HGDP + 1KG,AMR
HG01982,HGDP + 1KG,AMR
HG01985,HGDP + 1KG,AFR
HG01986,HGDP + 1KG,AFR
HG01988,HGDP + 1KG,AFR
HG01989,HGDP + 1KG,AFR
HG01990,HGDP + 1KG,AFR
HG01991,HGDP + 1KG,AMR
HG01992,HGDP + 1KG,AMR
HG01997,HGDP + 1KG,AMR
HG02002,HGDP + 1KG,AMR
HG02003,HGDP + 1KG,AMR
HG02006,HGDP + 1KG,AMR
HG02008,HGDP + 1KG,AMR
HG02009,HGDP + 1KG,AFR
HG02010,HGDP + 1KG,AFR
HG02012,HGDP + 1KG,AFR
HG02013,HGDP + 1KG,AFR
HG02014,HGDP + 1KG,AFR
HG02016,HGDP + 1KG,EAS
HG02017,HGDP + 1KG,EAS
HG02019,HGDP + 1KG,EAS
HG02020,HGDP + 1KG,EAS
HG02023,HGDP + 1KG,EAS
HG02025,HGDP + 1KG,EAS
HG02026,HGDP + 1KG,EAS
HG02028,HGDP + 1KG,EAS
HG02029,HGDP + 1KG,EAS
HG02031,HGDP + 1KG,EAS
HG02032,HGDP + 1KG,EAS
